id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName,Wordcount
business/live/2024/feb/09/bank-of-england-haskel-inflation-risks-interest-rates-business-live,liveblog,business,Business,2024-02-09 16:07:38+00:00,"Bank of England ‘could lower interest rates fairly soon’, as City expects only three cuts this year – as it happened",https://www.theguardian.com/business/live/2024/feb/09/bank-of-england-haskel-inflation-risks-interest-rates-business-live,https://content.guardianapis.com/business/live/2024/feb/09/bank-of-england-haskel-inflation-risks-interest-rates-business-live,False,pillar/news,News,3037
us-news/2024/feb/09/steve-bannon-criminal-charges-disinformation-maga,article,us-news,US news,2024-02-09 16:00:17+00:00,Steve Bannon hawks disinformation to support Trump as legal troubles mount,https://www.theguardian.com/us-news/2024/feb/09/steve-bannon-criminal-charges-disinformation-maga,https://content.guardianapis.com/us-news/2024/feb/09/steve-bannon-criminal-charges-disinformation-maga,False,pillar/news,News,1453
us-news/2024/feb/09/mayorkas-impeachment-lawmakers-health-last-minute-votes,article,us-news,US news,2024-02-09 16:00:17+00:00,Emergency powers: the hospitalized US lawmakers who swoop in to vote – in the nick of time,https://www.theguardian.com/us-news/2024/feb/09/mayorkas-impeachment-lawmakers-health-last-minute-votes,https://content.guardianapis.com/us-news/2024/feb/09/mayorkas-impeachment-lawmakers-health-last-minute-votes,False,pillar/news,News,981
politics/2024/feb/09/labour-bombproof-manifesto-hits-first-deadline-with-green-spending-cuts,article,politics,Politics,2024-02-09 14:50:43+00:00,Remaining Labour policies face ‘bombproof’ test to finalise manifesto,https://www.theguardian.com/politics/2024/feb/09/labour-bombproof-manifesto-hits-first-deadline-with-green-spending-cuts,https://content.guardianapis.com/politics/2024/feb/09/labour-bombproof-manifesto-hits-first-deadline-with-green-spending-cuts,False,pillar/news,News,832
world/2024/feb/09/pakistan-election-2024-results-delays,article,world,World news,2024-02-09 14:33:19+00:00,Pakistan in crisis as election results still undeclared and rigging claims mount,https://www.theguardian.com/world/2024/feb/09/pakistan-election-2024-results-delays,https://content.guardianapis.com/world/2024/feb/09/pakistan-election-2024-results-delays,False,pillar/news,News,1121
global-development/2024/feb/09/senegal-dakar-macky-sall-postponed-election-constitutional-coup,article,global-development,Global development,2024-02-09 13:20:52+00:00,‘Democracy has been thrown out the window’: paranoia stalks the streets of Dakar after ‘constitutional coup’ ,https://www.theguardian.com/global-development/2024/feb/09/senegal-dakar-macky-sall-postponed-election-constitutional-coup,https://content.guardianapis.com/global-development/2024/feb/09/senegal-dakar-macky-sall-postponed-election-constitutional-coup,False,pillar/news,News,896
us-news/2024/feb/09/first-thing-biden-comes-out-fighting-after-report-questions-his-memory,article,us-news,US news,2024-02-09 11:31:54+00:00,First Thing: Biden comes out fighting after report questions his memory,https://www.theguardian.com/us-news/2024/feb/09/first-thing-biden-comes-out-fighting-after-report-questions-his-memory,https://content.guardianapis.com/us-news/2024/feb/09/first-thing-biden-comes-out-fighting-after-report-questions-his-memory,False,pillar/news,News,1309
commentisfree/2024/feb/09/supreme-court-trump-ballot-disqualification-insurrection,article,commentisfree,Opinion,2024-02-09 11:00:40+00:00,US supreme court justices have strange views on whether Trump is disqualified | Moira Donegan,https://www.theguardian.com/commentisfree/2024/feb/09/supreme-court-trump-ballot-disqualification-insurrection,https://content.guardianapis.com/commentisfree/2024/feb/09/supreme-court-trump-ballot-disqualification-insurrection,False,pillar/opinion,Opinion,1049
commentisfree/2024/feb/09/keir-starmer-28bn-green-plan-bungled-planet-growth,article,commentisfree,Opinion,2024-02-09 09:14:52+00:00,Starmer’s £28bn green plan was bungled but Labour still has bold hopes for the country – and the planet | Polly Toynbee,https://www.theguardian.com/commentisfree/2024/feb/09/keir-starmer-28bn-green-plan-bungled-planet-growth,https://content.guardianapis.com/commentisfree/2024/feb/09/keir-starmer-28bn-green-plan-bungled-planet-growth,False,pillar/opinion,Opinion,792
politics/2024/feb/09/jeremy-hunt-may-launch-british-isa-investing-in-uk-company-shares,article,politics,Politics,2024-02-09 07:44:58+00:00,Jeremy Hunt may launch ‘British Isa’ investing in UK company shares,https://www.theguardian.com/politics/2024/feb/09/jeremy-hunt-may-launch-british-isa-investing-in-uk-company-shares,https://content.guardianapis.com/politics/2024/feb/09/jeremy-hunt-may-launch-british-isa-investing-in-uk-company-shares,False,pillar/news,News,502
australia-news/2024/feb/09/meta-review-misleading-facebook-posts-indigenous-voice-referendum,article,australia-news,Australia news,2024-02-09 06:34:35+00:00,Meta’s oversight board to review allegedly misleading Facebook posts from lead-up to Indigenous voice referendum,https://www.theguardian.com/australia-news/2024/feb/09/meta-review-misleading-facebook-posts-indigenous-voice-referendum,https://content.guardianapis.com/australia-news/2024/feb/09/meta-review-misleading-facebook-posts-indigenous-voice-referendum,False,pillar/news,News,455
world/2024/feb/09/finnish-presidential-candidate-surprised-at-renewed-focus-on-his-sexuality,article,world,World news,2024-02-09 05:00:33+00:00,Finnish presidential candidate surprised at renewed focus on his sexuality,https://www.theguardian.com/world/2024/feb/09/finnish-presidential-candidate-surprised-at-renewed-focus-on-his-sexuality,https://content.guardianapis.com/world/2024/feb/09/finnish-presidential-candidate-surprised-at-renewed-focus-on-his-sexuality,False,pillar/news,News,820
us-news/2024/feb/08/donald-trump-wins-nevada-caucuses,article,us-news,US news,2024-02-09 04:08:47+00:00,Donald Trump wins Nevada Republican caucuses in effective one-horse race,https://www.theguardian.com/us-news/2024/feb/08/donald-trump-wins-nevada-caucuses,https://content.guardianapis.com/us-news/2024/feb/08/donald-trump-wins-nevada-caucuses,False,pillar/news,News,738
us-news/2024/feb/08/nevada-republican-caucuses-trump-binkley,article,us-news,US news,2024-02-09 02:34:35+00:00,‘Excited for Trump’: Nevada Republican party holds caucuses days after primary,https://www.theguardian.com/us-news/2024/feb/08/nevada-republican-caucuses-trump-binkley,https://content.guardianapis.com/us-news/2024/feb/08/nevada-republican-caucuses-trump-binkley,False,pillar/news,News,806
us-news/live/2024/feb/08/trump-supreme-court-2024-election-ruling,liveblog,us-news,US news,2024-02-08 23:27:49+00:00,Biden described as ‘elderly man with poor memory’ in classified documents report – as it happened,https://www.theguardian.com/us-news/live/2024/feb/08/trump-supreme-court-2024-election-ruling,https://content.guardianapis.com/us-news/live/2024/feb/08/trump-supreme-court-2024-election-ruling,False,pillar/news,News,7525
world/2024/feb/08/pakistan-election-phone-service-suspended-country-goes-to-polls,article,world,World news,2024-02-08 22:01:51+00:00,Pakistan election: phone service suspended as country goes to polls,https://www.theguardian.com/world/2024/feb/08/pakistan-election-phone-service-suspended-country-goes-to-polls,https://content.guardianapis.com/world/2024/feb/08/pakistan-election-phone-service-suspended-country-goes-to-polls,False,pillar/news,News,836
law/2024/feb/08/us-supreme-court-justice-trump-14th-amendment-opinion-analysis,article,law,Law,2024-02-08 21:40:54+00:00,Did Trump engage in insurrection? US supreme court largely ignores question,https://www.theguardian.com/law/2024/feb/08/us-supreme-court-justice-trump-14th-amendment-opinion-analysis,https://content.guardianapis.com/law/2024/feb/08/us-supreme-court-justice-trump-14th-amendment-opinion-analysis,False,pillar/news,News,941
environment/2024/feb/08/ulez-fines-scandal-italian-police-illegally-accessed-thousands-of-eu-drivers-data,article,environment,Environment,2024-02-08 18:46:00+00:00,Ulez fines scandal: Italian police ‘illegally accessed’ thousands of EU drivers’ data,https://www.theguardian.com/environment/2024/feb/08/ulez-fines-scandal-italian-police-illegally-accessed-thousands-of-eu-drivers-data,https://content.guardianapis.com/environment/2024/feb/08/ulez-fines-scandal-italian-police-illegally-accessed-thousands-of-eu-drivers-data,False,pillar/news,News,900
us-news/2024/feb/08/us-supreme-court-donald-trump-eligibility-2024-election,article,us-news,US news,2024-02-08 18:36:28+00:00,US supreme court appears skeptical of Colorado ruling removing Trump from ballot,https://www.theguardian.com/us-news/2024/feb/08/us-supreme-court-donald-trump-eligibility-2024-election,https://content.guardianapis.com/us-news/2024/feb/08/us-supreme-court-donald-trump-eligibility-2024-election,False,pillar/news,News,1147
technology/2024/feb/08/us-outlaws-robocalls-ai-generated-voices,article,technology,Technology,2024-02-08 18:27:28+00:00,US outlaws robocalls that use AI-generated voices,https://www.theguardian.com/technology/2024/feb/08/us-outlaws-robocalls-ai-generated-voices,https://content.guardianapis.com/technology/2024/feb/08/us-outlaws-robocalls-ai-generated-voices,False,pillar/news,News,796
us-news/ng-interactive/2023/jun/17/2024-presidential-candidates-biden-trump-republicans-democrats,interactive,us-news,US news,2024-02-08 16:48:53+00:00,Who’s running for president in 2024? The Republican and Democratic candidates,https://www.theguardian.com/us-news/ng-interactive/2024/jan/21/presidential-election-candidates-biden-trump,https://content.guardianapis.com/us-news/ng-interactive/2023/jun/17/2024-presidential-candidates-biden-trump-republicans-democrats,False,pillar/news,News,2027
world/2024/feb/08/jair-bolsonaro-asked-passport-brazil-coup-attempt-investigation,article,world,World news,2024-02-08 15:57:20+00:00,Jair Bolsonaro surrenders passport in coup attempt investigation,https://www.theguardian.com/world/2024/feb/08/jair-bolsonaro-asked-passport-brazil-coup-attempt-investigation,https://content.guardianapis.com/world/2024/feb/08/jair-bolsonaro-asked-passport-brazil-coup-attempt-investigation,False,pillar/news,News,539
politics/2024/feb/08/tory-top-team-send-the-mighty-philpster-to-tackle-pmqs-trans-joke-fallout,article,politics,Politics,2024-02-08 15:15:26+00:00,Tory Top Team send the Mighty Philpster to tackle PMQs trans joke fallout | John Crace,https://www.theguardian.com/politics/2024/feb/08/tory-top-team-send-the-mighty-philpster-to-tackle-pmqs-trans-joke-fallout,https://content.guardianapis.com/politics/2024/feb/08/tory-top-team-send-the-mighty-philpster-to-tackle-pmqs-trans-joke-fallout,False,pillar/news,News,1172
world/live/2024/feb/08/shame-on-you-polish-prime-minister-tells-us-republican-senators-after-ukraine-bill-blocked-europe-live,liveblog,world,World news,2024-02-08 14:50:41+00:00,"EU funding for Ukraine is insufficient, says senior lawmaker – as it happened",https://www.theguardian.com/world/live/2024/feb/08/shame-on-you-polish-prime-minister-tells-us-republican-senators-after-ukraine-bill-blocked-europe-live,https://content.guardianapis.com/world/live/2024/feb/08/shame-on-you-polish-prime-minister-tells-us-republican-senators-after-ukraine-bill-blocked-europe-live,False,pillar/news,News,1873
politics/2024/feb/08/italian-man-removed-from-uk-despite-post-brexit-home-office-certificate,article,politics,Politics,2024-02-08 13:01:19+00:00,Italian man removed from UK despite post-Brexit Home Office certificate,https://www.theguardian.com/politics/2024/feb/08/italian-man-removed-from-uk-despite-post-brexit-home-office-certificate,https://content.guardianapis.com/politics/2024/feb/08/italian-man-removed-from-uk-despite-post-brexit-home-office-certificate,False,pillar/news,News,722
music/2024/feb/08/taylor-swift-2024-presidential-election,article,music,Music,2024-02-08 13:00:13+00:00,Could Taylor Swift really swing the 2024 presidential election?,https://www.theguardian.com/music/2024/feb/08/taylor-swift-2024-presidential-election,https://content.guardianapis.com/music/2024/feb/08/taylor-swift-2024-presidential-election,False,pillar/arts,Arts,1513
us-news/ng-interactive/2024/feb/08/14th-amendment-insurrection-disqualify-trump,interactive,us-news,US news,2024-02-08 13:00:13+00:00,Trump’s supreme court case hinges on the 14th amendment – what it actually means,https://www.theguardian.com/us-news/ng-interactive/2024/feb/08/14th-amendment-insurrection-disqualify-trump,https://content.guardianapis.com/us-news/ng-interactive/2024/feb/08/14th-amendment-insurrection-disqualify-trump,False,pillar/news,News,1361
commentisfree/2024/feb/08/royal-society-of-literature-books-bernardine-evaristo,article,commentisfree,Opinion,2024-02-08 13:00:12+00:00,I will defend the Royal Society of Literature against all attacks. It is more alive than ever | Bernardine Evaristo,https://www.theguardian.com/commentisfree/2024/feb/08/royal-society-of-literature-books-bernardine-evaristo,https://content.guardianapis.com/commentisfree/2024/feb/08/royal-society-of-literature-books-bernardine-evaristo,False,pillar/opinion,Opinion,1053
technology/2024/feb/08/iran-backed-hackers-interrupt-uae-tv-streaming-services-with-deepfake-news,article,technology,Technology,2024-02-08 12:17:37+00:00,Iran-backed hackers interrupt UAE TV streaming services with deepfake news,https://www.theguardian.com/technology/2024/feb/08/iran-backed-hackers-interrupt-uae-tv-streaming-services-with-deepfake-news,https://content.guardianapis.com/technology/2024/feb/08/iran-backed-hackers-interrupt-uae-tv-streaming-services-with-deepfake-news,False,pillar/news,News,493
world/2024/feb/08/us-funding-failure-serious-battlefield-consequences-ukraine-war,article,world,World news,2024-02-08 12:00:12+00:00,"US funding failure will have serious battlefield consequences, says Ukraine",https://www.theguardian.com/world/2024/feb/08/us-funding-failure-serious-battlefield-consequences-ukraine-war,https://content.guardianapis.com/world/2024/feb/08/us-funding-failure-serious-battlefield-consequences-ukraine-war,False,pillar/news,News,765
